Rk,Player,Pos,Squad,Federation,Gls,Sh,G/Sh
542,Romelu Lukaku,FW,be Belgium,UEFA,3,6,0.5
543,Dodi Lukebakio,MF,be Belgium,UEFA,0,7,0
544,Jovo Lukić,FW,ba Bosnia–Herz,UEFA,1,3,0.33
546,Alexis Mac Allister,MF,ar Argentina,CONMEBOL,1,13,0.08
547,Deiver Machado,DF,co Colombia,CONMEBOL,0,0,
550,Noni Madueke,MF,eng England,UEFA,0,6,0
552,Gabriel Magalhães,DF,br Brazil,CONMEBOL,0,1,0
553,Ermin Mahmić,MF,ba Bosnia–Herz,UEFA,2,4,0.5
556,Alexandro Maidana,DF,py Paraguay,CONMEBOL,0,0,
557,Mike Maignan,GK,fr France,UEFA,0,0,
560,Donyell Malen,FW,nl Netherlands,UEFA,0,4,0
561,Arjan Malic,DF,ba Bosnia–Herz,UEFA,0,0,
565,Juan Manuel Sanabria,DF,uy Uruguay,CONMEBOL,0,3,0
566,Johan Manzambi,MFFW,ch Switzerland,UEFA,3,6,0.5
570,Marquinhos,DF,br Brazil,CONMEBOL,0,2,0
571,Gabriel Martinelli,MF,br Brazil,CONMEBOL,1,2,0.5
574,Emiliano Martínez,GK,ar Argentina,CONMEBOL,0,0,
575,Lautaro Martínez,FW,ar Argentina,CONMEBOL,3,10,0.3
576,Lisandro Martínez,DF,ar Argentina,CONMEBOL,1,4,0.25
580,Igor Matanović,FW,hr Croatia,UEFA,0,4,0
582,Jean-Philippe Mateta,FW,fr France,UEFA,0,3,0
583,Mauricio,MF,py Paraguay,CONMEBOL,1,4,0.25
587,Kylian Mbappé,FW,fr France,UEFA,10,41,0.24
594,John McGinn,MF,sct Scotland,UEFA,1,3,0.33
595,Scott McKenna,DF,sct Scotland,UEFA,0,0,
598,Kenny McLean,MF,sct Scotland,UEFA,0,1,0
599,Scott McTominay,MF,sct Scotland,UEFA,0,8,0
600,Brandon Mechele,DF,be Belgium,UEFA,0,5,0
601,Facundo Medina,DF,ar Argentina,CONMEBOL,0,0,
602,Yaimar Medina,DFMF,ec Ecuador,CONMEBOL,0,1,0
604,Amar Memić,MF,ba Bosnia–Herz,UEFA,0,3,0
605,Memphis,FWMF,nl Netherlands,UEFA,0,0,
608,Nuno Mendes,DF,pt Portugal,UEFA,1,3,0.33
612,Mikel Merino,MF,es Spain,UEFA,2,5,0.4
613,Lionel Messi,FW,ar Argentina,CONMEBOL,8,35,0.23
615,Thomas Meunier,DF,be Belgium,UEFA,0,2,0
618,Yerry Mina,DF,co Colombia,CONMEBOL,0,0,
619,Alan Minda,MF,ec Ecuador,CONMEBOL,0,2,0
621,Luka Modrić,MF,hr Croatia,UEFA,0,1,0
626,Johan Mojica,DF,co Colombia,CONMEBOL,0,3,0
628,Nahuel Molina,DF,ar Argentina,CONMEBOL,0,1,0
631,Gonzalo Montiel,DF,ar Argentina,CONMEBOL,0,1,0
634,Diego Moreira,MF,be Belgium,UEFA,0,0,
643,Tarik Muharemovic,DF,ba Bosnia–Herz,UEFA,0,1,0
644,Miro Muheim,DFMF,ch Switzerland,UEFA,0,0,
646,Mert Müldür,DF,tr Türkiye,UEFA,0,3,0
647,Daniel Muñoz,DF,co Colombia,CONMEBOL,2,3,0.67
648,Petar Musa,FW,hr Croatia,UEFA,1,1,1
649,Jamal Musiala,MF,de Germany,UEFA,1,6,0.17
650,Fernando Muslera,GK,uy Uruguay,CONMEBOL,0,0,
651,Phillipp Mwene,DF,at Austria,UEFA,0,1,0
652,David Møller Wolfe,DF,no Norway,UEFA,0,0,
659,Dan Ndoye,MFFW,ch Switzerland,UEFA,2,16,0.13
663,Pedro Neto,MF,pt Portugal,UEFA,0,1,0
664,Manuel Neuer,GK,de Germany,UEFA,0,0,
665,João Neves,MF,pt Portugal,UEFA,1,3,0.33
666,Rúben Neves,MF,pt Portugal,UEFA,0,2,0
667,Neymar,FWMF,br Brazil,CONMEBOL,1,3,0.33
668,Nathan Ngoy,DF,be Belgium,UEFA,0,1,0
670,Gustaf Nilsson,FW,se Sweden,UEFA,0,1,0
671,Felix Nmecha,MF,de Germany,UEFA,1,8,0.13
672,Kristoffer Nordfeldt,GK,se Sweden,UEFA,0,0,
675,Matheus Nunes,DFMF,pt Portugal,UEFA,0,0,
676,Darwin Núñez,FW,uy Uruguay,CONMEBOL,0,2,0
677,Antonio Nusa,FW,no Norway,UEFA,1,6,0.17
678,Benjamin Nygren,MF,se Sweden,UEFA,0,1,0
679,Ørjan Nyland,GK,no Norway,UEFA,0,0,
681,Nico O'Reilly,DF,eng England,UEFA,0,7,0
686,Braian Ojeda,MF,py Paraguay,CONMEBOL,0,0,
687,Noah Okafor,FWMF,ch Switzerland,UEFA,0,1,0
691,Michael Olise,MF,fr France,UEFA,0,20,0
692,Mathías Olivera,DF,uy Uruguay,CONMEBOL,0,1,0
693,Dani Olmo,MF,es Spain,UEFA,0,13,0
696,Amadou Onana,MF,be Belgium,UEFA,0,2,0
699,Joel Ordóñez,DF,ec Ecuador,CONMEBOL,0,2,0
701,Nicolás Otamendi,DF,ar Argentina,CONMEBOL,0,1,0
707,Mikel Oyarzabal,FW,es Spain,UEFA,5,23,0.22
708,Salih Özcan,MF,tr Türkiye,UEFA,0,0,
709,Willian Pacho,DF,ec Ecuador,CONMEBOL,0,1,0
710,Kendry Páez,MF,ec Ecuador,CONMEBOL,0,0,
711,Exequiel Palacios,DF,ar Argentina,CONMEBOL,0,0,
712,Lucas Paquetá,MF,br Brazil,CONMEBOL,0,5,0
713,Leandro Paredes,MF,ar Argentina,CONMEBOL,0,4,0
715,Marco Pašalić,MF,hr Croatia,UEFA,0,3,0
716,Mario Pašalić,MF,hr Croatia,UEFA,0,4,0
717,Nathan Patterson,DF,sct Scotland,UEFA,0,0,
719,Aleksandar Pavlovic,MF,de Germany,UEFA,0,4,0
721,Nicolás Paz,MF,ar Argentina,CONMEBOL,0,1,0
722,Marcus Pedersen,DF,no Norway,UEFA,1,1,1
723,Pedri,MF,es Spain,UEFA,0,5,0
727,Ivan Perišić,MFDF,hr Croatia,UEFA,1,2,0.5
728,Jens Petter Hauge,DFFW,no Norway,UEFA,0,0,
730,Jordan Pickford,GK,eng England,UEFA,0,0,
736,Yéremy Pino,FWMF,es Spain,UEFA,0,0,
737,Isidro Pitta,FW,py Paraguay,CONMEBOL,0,0,
739,Gonzalo Plata,FW,ec Ecuador,CONMEBOL,1,8,0.13
740,Marin Pongračić,DF,hr Croatia,UEFA,0,1,0
741,Jackson Porozo,DF,ec Ecuador,CONMEBOL,0,0,
742,Pedro Porro,DF,es Spain,UEFA,2,7,0.29
743,Stefan Posch,DF,at Austria,UEFA,0,3,0
744,Alexander Prass,DFMF,at Austria,UEFA,0,0,
745,Ángelo Preciado,DFMF,ec Ecuador,CONMEBOL,0,0,
747,Lukáš Provod,FW,cz Czechia,UEFA,0,1,0
748,Marc Pubill,DF,es Spain,UEFA,0,0,
749,Gustavo Puerta,MF,co Colombia,CONMEBOL,0,14,0
752,Jarell Quansah,DF,eng England,UEFA,0,0,
755,Juan Quintero,FWMF,co Colombia,CONMEBOL,0,4,0
757,Adrien Rabiot,MF,fr France,UEFA,0,9,0
758,Stjepan Radeljić,DF,ba Bosnia–Herz,UEFA,0,1,0
761,Anthony Ralston,DF,sct Scotland,UEFA,0,1,0
762,Gonçalo Ramos,FW,pt Portugal,UEFA,1,2,0.5
766,Raphinha,MFFW,br Brazil,CONMEBOL,0,3,0
768,Marcus Rashford,MF,eng England,UEFA,1,12,0.08
769,Nicolas Raskin,MF,be Belgium,UEFA,0,2,0
770,David Raum,DF,de Germany,UEFA,0,1,0
772,Rayan,FWMF,br Brazil,CONMEBOL,0,5,0
775,Tijjani Reijnders,MF,nl Netherlands,UEFA,0,4,0
781,Declan Rice,MF,eng England,UEFA,1,6,0.17
783,Fabian Rieder,MFFW,ch Switzerland,UEFA,0,7,0
784,Richard Ríos,MF,co Colombia,CONMEBOL,0,5,0
786,Andy Robertson,DF,sct Scotland,UEFA,0,0,
789,Sergio Rochet,GK,uy Uruguay,CONMEBOL,0,0,
790,Rodri,MF,es Spain,UEFA,0,7,0
792,Brian Rodríguez,FWMF,uy Uruguay,CONMEBOL,0,3,0
793,James Rodríguez,FWMF,co Colombia,CONMEBOL,0,6,0
794,Kevin Rodríguez,FW,ec Ecuador,CONMEBOL,0,6,0
795,Ricardo Rodríguez,DF,ch Switzerland,UEFA,0,1,0
798,Morgan Rogers,MF,eng England,UEFA,0,3,0
799,Cristian Romero,DF,ar Argentina,CONMEBOL,1,3,0.33
801,Cristiano Ronaldo,FW,pt Portugal,UEFA,3,18,0.17
803,Marten de Roon,DFMF,nl Netherlands,UEFA,0,0,
805,Antonio Rüdiger,DF,de Germany,UEFA,0,1,0
806,Fabián Ruiz Peña,MF,es Spain,UEFA,1,8,0.13
808,Julian Ryerson,DF,no Norway,UEFA,0,0,
813,Marcel Sabitzer,MF,at Austria,UEFA,1,5,0.2
815,Michal Sadílek,MF,cz Czechia,UEFA,1,7,0.14
816,Alexis Saelemaekers,MF,be Belgium,UEFA,1,4,0.25
818,Bukayo Saka,MF,eng England,UEFA,3,13,0.23
822,William Saliba,DF,fr France,UEFA,0,1,0
824,Antonio Sanabria,FW,py Paraguay,CONMEBOL,0,0,
825,Davinson Sánchez,DF,co Colombia,CONMEBOL,0,6,0
827,Alex Sandro,DFMF,br Brazil,CONMEBOL,0,0,
828,Leroy Sané,MF,de Germany,UEFA,1,6,0.17
831,Danilo Santos,MF,br Brazil,CONMEBOL,0,2,0
832,Douglas Santos,DF,br Brazil,CONMEBOL,0,2,0
838,Patrik Schick,FW,cz Czechia,UEFA,0,2,0
839,Andreas Schjelderup,FW,no Norway,UEFA,1,3,0.33
840,Alexander Schlager,GK,at Austria,UEFA,0,0,
841,Xaver Schlager,MF,at Austria,UEFA,0,1,0
842,Nico Schlotterbeck,DF,de Germany,UEFA,1,2,0.5
843,Romano Schmid,MFFW,at Austria,UEFA,1,2,0.5
847,Nicolas Seiwald,MF,at Austria,UEFA,0,3,0
849,Egil Selvik,GK,no Norway,UEFA,0,0,
850,Ken Sema,FWMF,se Sweden,UEFA,0,1,0
851,Nélson Semedo,DFMF,pt Portugal,UEFA,0,0,
855,Marcos Senesi,DF,ar Argentina,CONMEBOL,0,1,0
860,Joaquin Seys,DF,be Belgium,UEFA,0,0,
863,Lawrence Shankland,FW,sct Scotland,UEFA,0,4,0
873,Bernardo Silva,MF,pt Portugal,UEFA,0,1,0
874,Éderson Silva,MF,br Brazil,CONMEBOL,0,2,0
875,Giuliano Simeone,FW,ar Argentina,CONMEBOL,0,1,0
877,Unai Simón,GK,es Spain,UEFA,0,0,
882,Alexandr Sojka,MFDF,cz Czechia,UEFA,0,0,
883,Ramón Sosa,FWMF,py Paraguay,CONMEBOL,0,0,
884,Tomáš Souček,MF,cz Czechia,UEFA,0,1,0
886,Djibril Sow,MF,ch Switzerland,UEFA,0,2,0
887,Çağlar Söyüncü,DF,tr Türkiye,UEFA,0,0,
888,Djed Spence,DF,eng England,UEFA,0,2,0
890,Josip Stanišić,DFMF,hr Croatia,UEFA,0,0,
891,Carl Starfelt,DF,se Sweden,UEFA,0,0,
892,Ross Stewart,FW,sct Scotland,UEFA,0,0,
893,Angelo Stiller,MF,de Germany,UEFA,0,0,
894,John Stones,DF,eng England,UEFA,0,1,0
895,Jørgen Strand Larsen,FW,no Norway,UEFA,0,2,0
896,Elliot Stroud,MF,se Sweden,UEFA,0,1,0
897,Luis Suárez,FW,co Colombia,CONMEBOL,0,9,0
898,Luka Sučić,FWMF,hr Croatia,UEFA,0,1,0
899,Petar Sučić,MFFW,hr Croatia,UEFA,1,3,0.33
902,Pavel Šulc,FW,cz Czechia,UEFA,0,2,0
904,Crysencio Summerville,FW,nl Netherlands,UEFA,2,2,1
905,Ivan Šunjić,MF,ba Bosnia–Herz,UEFA,0,1,0
907,Josip Šutalo,DF,hr Croatia,UEFA,0,1,0
911,Mattias Svanberg,MF,se Sweden,UEFA,1,3,0.33
912,Daniel Svensson,DF,se Sweden,UEFA,0,1,0
913,Alexander Sørloth,FW,no Norway,UEFA,0,5,0
915,Haris Tabaković,FW,ba Bosnia–Herz,UEFA,0,0,
917,Nicolás Tagliafico,DF,ar Argentina,CONMEBOL,0,0,
918,Jonathan Tah,DF,de Germany,UEFA,0,1,0
919,Benjamin Tahirovic,MF,ba Bosnia–Herz,UEFA,0,1,0
927,Aurélien Tchouaméni,MF,fr France,UEFA,0,3,0
928,Arthur Theate,DF,be Belgium,UEFA,0,5,0
929,Igor Thiago,FW,br Brazil,CONMEBOL,0,2,0
930,Malick Thiaw,DFMF,de Germany,UEFA,0,0,
933,Morten Thorsby,MF,no Norway,UEFA,0,0,
934,Kristian Thorstvedt,MF,no Norway,UEFA,0,3,0
935,Marcus Thuram,FWMF,fr France,UEFA,0,0,
936,Youri Tielemans,MF,be Belgium,UEFA,2,11,0.18
937,Kieran Tierney,MF,sct Scotland,UEFA,0,2,0
938,Guus Til,FWMF,nl Netherlands,UEFA,0,0,
940,Quinten Timber,MF,nl Netherlands,UEFA,0,0,
942,Ivan Toney,FW,eng England,UEFA,0,2,0
944,Félix Torres Caicedo,DF,ec Ecuador,CONMEBOL,0,0,
945,Ferran Torres,FW,es Spain,UEFA,1,14,0.07
951,Francisco Trincão,FWMF,pt Portugal,UEFA,0,1,0
952,Leandro Trossard,MFFW,be Belgium,UEFA,2,17,0.12
957,Manuel Ugarte,MF,uy Uruguay,CONMEBOL,0,3,0
958,Deniz Undav,FW,de Germany,UEFA,3,6,0.5
959,Dayot Upamecano,DF,fr France,UEFA,0,4,0
962,Can Uzun,MF,tr Türkiye,UEFA,0,4,0
963,Enner Valencia,FW,ec Ecuador,CONMEBOL,0,10,0
965,Federico Valverde,MF,uy Uruguay,CONMEBOL,0,10,0
966,Virgil van Dijk,DF,nl Netherlands,UEFA,1,2,0.5
967,Hans Vanaken,MF,be Belgium,UEFA,1,5,0.2
968,Guillermo Varela,DF,uy Uruguay,CONMEBOL,0,2,0
970,Camilo Vargas,GK,co Colombia,CONMEBOL,0,0,
972,Ruben Vargas,MF,ch Switzerland,UEFA,2,6,0.33
973,Nikola Vasilj,GK,ba Bosnia–Herz,UEFA,0,0,
976,Renato Veiga,DF,pt Portugal,UEFA,0,2,0
977,Gustavo Velásquez,DF,py Paraguay,CONMEBOL,0,0,
979,Micky van de Ven,DFMF,nl Netherlands,UEFA,0,3,0
980,Bart Verbruggen,GK,nl Netherlands,UEFA,0,0,
981,Matías Viña,DF,uy Uruguay,CONMEBOL,0,0,
982,Federico Viñas,FW,uy Uruguay,CONMEBOL,0,6,0
983,Denis Višinský,FW,cz Czechia,UEFA,0,3,0
984,Pedro Vite,MF,ec Ecuador,CONMEBOL,0,4,0
985,Vitinha,MF,pt Portugal,UEFA,0,4,0
986,Nikola Vlašić,MF,hr Croatia,UEFA,1,3,0.33
990,Luka Vušković,DF,hr Croatia,UEFA,0,0,
993,Paul Wanner,MF,at Austria,UEFA,0,1,0
996,Ollie Watkins,FWMF,eng England,UEFA,0,1,0
998,Wout Weghorst,FW,nl Netherlands,UEFA,0,0,
999,Jacob Widell Zetterström,GK,se Sweden,UEFA,0,0,
1000,Silvan Widmer,DF,ch Switzerland,UEFA,0,0,
1002,Nico Williams,MF,es Spain,UEFA,0,4,0
1004,Patrick Wimmer,FWMF,at Austria,UEFA,0,1,0
1005,Florian Wirtz,MF,de Germany,UEFA,0,10,0
1007,Axel Witsel,DFMF,be Belgium,UEFA,0,0,
1008,Nick Woltemade,FWMF,de Germany,UEFA,0,2,0
1011,Granit Xhaka,MF,ch Switzerland,UEFA,1,9,0.11
1013,Lamine Yamal,MFFW,es Spain,UEFA,1,27,0.04
1016,John Yeboah,MF,ec Ecuador,CONMEBOL,0,8,0
1018,Kenan Yıldız,MF,tr Türkiye,UEFA,0,14,0
1024,İsmail Yüksek,MF,tr Türkiye,UEFA,0,5,0
1026,Warren Zaïre-Emery,MF,fr France,UEFA,0,1,0
1027,Denis Zakaria,DF,ch Switzerland,UEFA,0,5,0
1028,Jaroslav Zelený,MF,cz Czechia,UEFA,0,1,0
1030,Besfort Zeneli,MF,se Sweden,UEFA,0,1,0
1034,David Zima,DF,cz Czechia,UEFA,0,0,
1036,Martín Zubimendi,MF,es Spain,UEFA,0,0,
1038,Martin Ødegaard,MF,no Norway,UEFA,0,9,0
1039,Leo Østigård,DF,no Norway,UEFA,1,3,0.33
