Rk,Player,Squad,90s,CrdY,CrdR,2CrdY,Fls,Code,Team,Confederation,Cards_received,Cards_per_100_fouls
512,Maxence Lacroix,fr France,2.7,0,0,0,5,fr,France,UEFA,0,0.0
276,Edin Džeko,ba Bosnia–Herz,2.0,1,0,0,1,ba,Bosnia–Herz,UEFA,1,100.0
1000,Silvan Widmer,ch Switzerland,1.9,0,0,0,2,ch,Switzerland,UEFA,0,0.0
928,Arthur Theate,be Belgium,2.5,0,0,0,1,be,Belgium,UEFA,0,0.0
434,Alexander Isak,se Sweden,4.0,0,0,0,4,se,Sweden,UEFA,0,0.0
667,Neymar,br Brazil,0.4,1,0,0,1,br,Brazil,CONMEBOL,1,100.0
81,Jhon Arias,co Colombia,4.2,1,0,0,5,co,Colombia,CONMEBOL,1,20.0
982,Federico Viñas,uy Uruguay,2.1,0,0,0,3,uy,Uruguay,CONMEBOL,0,0.0
257,Luis Díaz,co Colombia,5.3,0,0,0,7,co,Colombia,CONMEBOL,0,0.0
626,Johan Mojica,co Colombia,4.3,1,0,0,1,co,Colombia,CONMEBOL,1,100.0
348,Nicolás González,ar Argentina,2.9,0,0,0,4,ar,Argentina,CONMEBOL,0,0.0
41,Omar Alderete,py Paraguay,3.6,0,0,0,2,py,Paraguay,CONMEBOL,0,0.0
462,Vinicius Júnior,br Brazil,4.9,0,0,0,4,br,Brazil,CONMEBOL,0,0.0
897,Luis Suárez,co Colombia,3.7,1,0,0,7,co,Colombia,CONMEBOL,1,14.285714285714285
426,Roger Ibanez,br Brazil,0.5,1,0,0,2,br,Brazil,CONMEBOL,1,50.0
49,Thiago Almada,ar Argentina,2.7,1,0,0,2,ar,Argentina,CONMEBOL,1,50.0
131,Rodrigo Bentancur,uy Uruguay,3.0,1,0,0,7,uy,Uruguay,CONMEBOL,1,14.285714285714285
917,Nicolás Tagliafico,ar Argentina,5.3,0,0,0,9,ar,Argentina,CONMEBOL,0,0.0
739,Gonzalo Plata,ec Ecuador,4.0,1,0,0,5,ec,Ecuador,CONMEBOL,1,20.0
51,Júnior Alonso,py Paraguay,4.3,1,0,0,3,py,Paraguay,CONMEBOL,1,33.33333333333333
284,Julio Enciso,py Paraguay,4.3,0,0,0,3,py,Paraguay,CONMEBOL,0,0.0
965,Federico Valverde,uy Uruguay,2.6,0,0,0,1,uy,Uruguay,CONMEBOL,0,0.0
713,Leandro Paredes,ar Argentina,5.3,2,0,0,9,ar,Argentina,CONMEBOL,2,22.22222222222222
576,Lisandro Martínez,ar Argentina,6.9,2,0,0,7,ar,Argentina,CONMEBOL,2,28.57142857142857
711,Exequiel Palacios,ar Argentina,1.0,0,0,0,1,ar,Argentina,CONMEBOL,0,0.0
977,Gustavo Velásquez,py Paraguay,2.7,0,0,0,2,py,Paraguay,CONMEBOL,0,0.0
963,Enner Valencia,ec Ecuador,3.2,0,0,0,4,ec,Ecuador,CONMEBOL,0,0.0
345,Diego Gómez,py Paraguay,3.4,2,0,0,5,py,Paraguay,CONMEBOL,2,40.0
676,Darwin Núñez,uy Uruguay,1.7,0,0,0,1,uy,Uruguay,CONMEBOL,0,0.0
69,Nilson Angulo,ec Ecuador,2.4,0,0,0,4,ec,Ecuador,CONMEBOL,0,0.0
565,Juan Manuel Sanabria,uy Uruguay,2.3,1,0,0,1,uy,Uruguay,CONMEBOL,1,100.0
547,Deiver Machado,co Colombia,1.0,0,0,0,1,co,Colombia,CONMEBOL,0,0.0
75,Maxi Araújo,uy Uruguay,2.8,0,0,0,2,uy,Uruguay,CONMEBOL,0,0.0
238,Nicolás De La Cruz,uy Uruguay,1.0,1,0,0,2,uy,Uruguay,CONMEBOL,1,50.0
540,Jhon Lucumí,co Colombia,5.3,1,0,0,5,co,Colombia,CONMEBOL,1,20.0
78,Álex Arce,py Paraguay,0.6,1,0,0,1,py,Paraguay,CONMEBOL,1,100.0
224,Danilo,br Brazil,4.5,2,0,0,7,br,Brazil,CONMEBOL,2,28.57142857142857
163,Gustavo Caballero,py Paraguay,1.1,0,0,0,2,py,Paraguay,CONMEBOL,0,0.0
766,Raphinha,br Brazil,1.4,0,0,0,1,br,Brazil,CONMEBOL,0,0.0
217,Andrés Cubas,py Paraguay,5.3,1,0,0,14,py,Paraguay,CONMEBOL,1,7.142857142857142
628,Nahuel Molina,ar Argentina,5.9,0,0,0,3,ar,Argentina,CONMEBOL,0,0.0
90,Gabriel Ávalos,py Paraguay,1.6,0,0,0,1,py,Paraguay,CONMEBOL,0,0.0
534,Giovani Lo Celso,ar Argentina,0.7,0,0,0,1,ar,Argentina,CONMEBOL,0,0.0
709,Willian Pacho,ec Ecuador,4.0,0,0,0,3,ec,Ecuador,CONMEBOL,0,0.0
415,Piero Hincapié,ec Ecuador,3.8,1,1,0,5,ec,Ecuador,CONMEBOL,2,40.0
